萬華區,119,5460
大同區,62,2806
中正區,110,8353
北投區,35,1720
松山區,39,2899
中山區,137,9725
大安區,51,4462
士林區,24,1299
信義區,20,2539
南港區,12,1786
文山區,5,133
內湖區,6,538
